Dish,Weather,Temperature,Difficulty,Ingredients,Rating (Subjective to caca),Serving,,
Gyuudon,cloudy,11,4,Onion + beef strips,8,1,,
Bakwan jagung,rain,9,3,Corn + batter,9,1,,
Crocodile (pergedel),rain,9,4,Potato + egg,9,1,,
Bagelos,light cloud,14,1,Bagelos,7,1,,
Brocolli,rain,11,4,Brocolli + garlic,7,1,,
Pastel tutup,mild showers,11,5,Potato + mixed veggie + bihun + egg,7,1-4,,
Cha tahu sayur,mild showers,10,4,Tahu + sayur,8,1,,
Spring rolls,rain,11,4,Spring roll + bihun + cabbage,8,1-2,,
Pastel tutup,rain,11,5,Potato + mixed veggie + bihun + egg,7,1-4,,
Bagelos,cloudy,11,1,Bagelos,7,1,,
Pastel tutup,cloudy,10,5,Potato + mixed veggie + bihun + egg,7,1-4,,
K BBQ,cloudy,8,5,Beef strips + kimchi,10,1,,
Nasi goreng,mild showers,11,4,Nasi malem + kecap + telor,8,1,,
Indomie kuah,mild showers,9,3,Indomie kuah + telor,9,1,,
Bagelos,cloudy,12,1,Bagelos,7,1,,
Inari sushi,cloudy,11,4,Filling + rice + inari,8,1,,
Corn dog,light cloud,11,5,Sausage + flour + skewer,7,1,,
Dumplings,light cloud,10,4,Dumpling wrap + pork + ginger + chives,9,2-4,,
Chicken tender wrap,cloudy,14,4,Chicken + wrap + lettuce,9,1,,
Bakpao,cloudy,13,5,Flour + ?? + red bean paste,7,1-2,,
Chicken katsu,cloudy,17,5,Chicken + breadcrumbs,8,1,,
Bagelos,cloudy,13,1,Bagelos,7,1,,
Gyuudon,cloudy,11,4,Onion + beef strips,8,1,,
Cauliflower wings,cloudy,12,4,Cauliflower + batter,9,1,,
Corn soup,cloudy,12,3,Corn + egg + onion,8,1-2,,
Bagelos,mild showers,15,1,Bagelos,7,1,,
Congee,mild showers,12,4,Nasi + chicken,8,1-2,,
Bagelos,rain,14,1,Bagelos,7,1,,
Corn soup,mild showers,11,3,Corn + egg + onion,8,1-2,,
Bibimbap,cloudy,12,4,Rice + carrot + gocugaru + kimchi + sayur + beef strips,8,1,,
Soondubu jjigae,cloudy,12,5,Tahu + ??,9,1,,
Bibimbap,clear,13,4,Rice + carrot + gocugaru + kimchi + sayur + beef strips,8,1,,
Tteokguk,clear,10,5,Tteok + fish tofu + fish balls,9,1,,
Mushroom gravy and mashed potato,cloudy,9,5,Mushroom + potato,7,1,,
Capcai,cloudy,9,4,Veggies + fish balls,8,1-2,,
Bagelos,clear,18,1,Bagelos,7,1,,
Pempek,cloudy,7,6,Warehu + flour + chili vinegar,10,1,,
Bakmi banka,cloudy,7,5,Bakmi + ??,9,1,,
Pancake,cloudy,12,4,Milk + flour + egg + topping,7,1,,
Spaghetti,cloudy,12,3,Spaghetti + ground beef + barilla,9,1,,
Okonomiyaki,mild showers,15,4,Cabagges + mayo + bbq sauce + egg,8,1,,
Bagelos,mild showers,12,1,Bagelos,7,1,,
Inari sushi,mild showers,11,4,Filling + rice + inari,8,1,,
Nasi goreng,cloudy,12,3,Nasi malem + fish balls + gocujang,8,1,,
Tofu and mushroom,clear,13,4,Tahu + mushroom,8,1,,
Tteokbokki,clear,10,5,Tteok + fish tofu + fish balls + gocugaru,9,1,,
Zuppa soup,cloudy,9,5,Mushroom + pastry,9,1-2,,
Bagelos,clear,18,1,Bagelos,7,1,,
Nasi telor,cloudy,7,2,Nasi + telor,9,1,,
